rank,token_id,degradation_score,cosine_similarity,token_text
1,111563,0.00017059,0.996929,做大做强
2,116026,0.00016473,0.997020,抢抓
3,113765,0.00014822,0.997245,狠抓
4,117822,0.00014675,0.997213,着力打造
5,114443,0.00014667,0.997301,也是很
6,118228,0.00012514,0.998026,换句话
7,109393,0.00011421,0.997706,不忘初心
8,118104,0.00011031,0.997759,精益求精
9,118942,0.00011019,0.997937,营造良好
10,115112,0.00010715,0.998035,文章来源
11,118765,0.00010626,0.997997,解放思想
12,118096,0.00010129,0.997979,争创
13,116726,0.00009558,0.998069,以习近平
14,118421,0.00009351,0.997975,紧盯
15,108966,0.00009188,0.998330,仅代表
16,132675,0.00009078,0.997953,と言って
17,117010,0.00008774,0.998155,重要指示
18,115557,0.00008550,0.998140,充分肯定
19,118129,0.00008526,0.998391,阅读全文
20,115338,0.00008133,0.998060,着实
21,117603,0.00007996,0.998291,请及时
22,118788,0.00007933,0.998092,本次交易
23,118080,0.00007813,0.998183,执勤
24,115658,0.00007811,0.998378,博文
25,106629,0.00007614,0.998355,本网站
26,117099,0.00007596,0.998334,百花
27,115927,0.00007475,0.998426,随处
28,116306,0.00007425,0.998288,牢固树立
29,112430,0.00007411,0.998253,图片来源
30,116896,0.00007257,0.998182,深交所
31,115057,0.00007103,0.998267,千万别
32,116374,0.00007023,0.998400,转型发展
33,117361,0.00006990,0.998418,凡事
34,111504,0.00006940,0.998315,只要是
35,115769,0.00006891,0.998266,目前国内
36,103410,0.00006789,0.998465,青山
37,118955,0.00006770,0.998474,主持召开
38,115804,0.00006720,0.998366,凭着
39,116400,0.00006705,0.998595,版权归原
40,113470,0.00006570,0.998630,快讯
41,104831,0.00006535,0.998553,责任编辑
42,117835,0.00006466,0.998463,意见建议
43,109720,0.00006398,0.998687,被誉
44,102368,0.00006216,0.998366,致力
45,114307,0.00006201,0.998432,俗话说
46,118960,0.00006180,0.998728,注明来源
47,106397,0.00006175,0.998409,呵呵
48,116532,0.00006173,0.998561,公告称
49,118861,0.00006147,0.998544,察看
50,116715,0.00006141,0.998409,仍将
